state,date,cases
Texas,2020-06-19,107322
Washington,2020-06-19,29045
Georgia,2020-06-20,60669
Texas,2020-06-20,111594
Washington,2020-06-20,29466
Georgia,2020-06-21,61493
Texas,2020-06-21,114886
Washington,2020-06-21,29797
Georgia,2020-06-22,62705
Texas,2020-06-22,119646
Washington,2020-06-22,30443
Georgia,2020-06-23,64577
Texas,2020-06-23,124726
Washington,2020-06-23,30778
Georgia,2020-06-24,66290
Texas,2020-06-24,131310
Washington,2020-06-24,31400
Georgia,2020-06-25,67796
Texas,2020-06-25,136783
Washington,2020-06-25,31998
Georgia,2020-06-26,69542
Texas,2020-06-26,142582
Washington,2020-06-26,32489
Georgia,2020-06-27,71066
Texas,2020-06-27,148639
Washington,2020-06-27,33031
Georgia,2020-06-28,72800
Texas,2020-06-28,152437
Washington,2020-06-28,33341
Georgia,2020-06-29,74816
Texas,2020-06-29,158756
Washington,2020-06-29,34036
Georgia,2020-06-30,77280
Texas,2020-06-30,166703
Washington,2020-06-30,34541
Georgia,2020-07-01,79589
Texas,2020-07-01,174826
Washington,2020-07-01,35258
Georgia,2020-07-02,82475
Texas,2020-07-02,182260
Washington,2020-07-02,35921
Georgia,2020-07-03,85079
Texas,2020-07-03,189418
Washington,2020-07-03,36417
Georgia,2020-07-04,87592
Texas,2020-07-04,195707
Washington,2020-07-04,36799
Georgia,2020-07-05,89489
Texas,2020-07-05,200137
Washington,2020-07-05,37468
Georgia,2020-07-06,91015
Texas,2020-07-06,209350
Washington,2020-07-06,38517
Georgia,2020-07-07,93707
Texas,2020-07-07,219164
Washington,2020-07-07,39063
Georgia,2020-07-08,96538
Texas,2020-07-08,229116
Washington,2020-07-08,39661
Georgia,2020-07-09,98693
Texas,2020-07-09,240025
Washington,2020-07-09,40369
Georgia,2020-07-10,103597
Texas,2020-07-10,249948
Washington,2020-07-10,41090
Georgia,2020-07-11,106574
Texas,2020-07-11,258280
Washington,2020-07-11,41326
Georgia,2020-07-12,108389
Texas,2020-07-12,264811
Washington,2020-07-12,42181
Georgia,2020-07-13,111937
Texas,2020-07-13,273732
Washington,2020-07-13,43538
Georgia,2020-07-14,114579
Texas,2020-07-14,284638
Washington,2020-07-14,44257
Georgia,2020-07-15,118147
Texas,2020-07-15,296478
Washington,2020-07-15,45004
Georgia,2020-07-16,120848
Texas,2020-07-16,311516
Washington,2020-07-16,46268
Georgia,2020-07-17,124267
Texas,2020-07-17,321242
Washington,2020-07-17,47226
Georgia,2020-07-18,128341
Texas,2020-07-18,330059
Washington,2020-07-18,47889
Georgia,2020-07-19,130794
Texas,2020-07-19,338036
Washington,2020-07-19,48601
Georgia,2020-07-20,132788
Texas,2020-07-20,345672
Washington,2020-07-20,49949
