state,date,positive cases,negative cases
Washington,2020-05-17,19991,252780
Florida,2020-05-16,44811,585236
Georgia,2020-05-16,37147,283922
New York,2020-05-16,348232,1030485
Texas,2020-05-16,46999,591740
Washington,2020-05-16,19838,250963
Florida,2020-05-15,43210,565627
Georgia,2020-05-15,36681,265193
New York,2020-05-15,345813,992235
Texas,2020-05-15,45198,564432
Washington,2020-05-15,19650,248322
Florida,2020-05-14,43210,565627
Georgia,2020-05-14,35858,250023
New York,2020-05-14,343051,955706
Texas,2020-05-14,43851,543462
Washington,2020-05-14,19424,243144
Florida,2020-05-13,42402,552361
Georgia,2020-05-13,35332,238572
New York,2020-05-13,340661,918246
Texas,2020-05-13,42403,514373
Washington,2020-05-13,19179,238384
Florida,2020-05-12,41923,537681
Georgia,2020-05-12,34635,227544
New York,2020-05-12,338485,886628
Texas,2020-05-12,41048,497124
Washington,2020-05-12,18952,233864
Florida,2020-05-11,40982,520075
Georgia,2020-05-11,33927,217361
New York,2020-05-11,337055,867596
Texas,2020-05-11,39869,485828
Washington,2020-05-11,18741,229099
Florida,2020-05-10,40596,498352
Georgia,2020-05-10,33441,210106
New York,2020-05-10,335395,847603
Texas,2020-05-10,38869,462907
Washington,2020-05-10,18449,224548
Florida,2020-05-09,40001,487730
Georgia,2020-05-09,32532,202792
New York,2020-05-09,333122,820646
Texas,2020-05-09,37860,451434
Washington,2020-05-09,18275,223361
Florida,2020-05-08,39199,474142
Georgia,2020-05-08,32106,195461
New York,2020-05-08,330407,791136
Texas,2020-05-08,36609,440509
Washington,2020-05-08,18124,221418
Florida,2020-05-07,38828,454122
Georgia,2020-05-07,31439,185864
New York,2020-05-07,327649,762267
Texas,2020-05-07,35390,419772
Washington,2020-05-07,17914,216453
Florida,2020-05-06,38002,442049
Georgia,2020-05-06,30696,173441
New York,2020-05-06,323978,731943
Texas,2020-05-06,34422,404516
Washington,2020-05-06,17718,212065
Florida,2020-05-05,37439,428252
Georgia,2020-05-05,29711,171172
New York,2020-05-05,321192,707707
Texas,2020-05-05,33369,393841
Washington,2020-05-05,17470,207014
Florida,2020-05-04,36897,407373
Georgia,2020-05-04,29368,153957
New York,2020-05-04,318953,688357
Texas,2020-05-04,32332,375066
Washington,2020-05-04,17209,202206
Florida,2020-05-03,36078,392111
Georgia,2020-05-03,28602,146494
New York,2020-05-03,316415,669496
Texas,2020-05-03,31548,359012
Washington,2020-05-03,16943,196962
Florida,2020-05-02,35463,380549
Georgia,2020-05-02,28306,146494
