state,date,positive
WA,20200211,17.0
WA,20200210,16.0
WA,20200209,13.0
WA,20200208,13.0
WA,20200207,12.0
WA,20200206,11.0
WA,20200205,8.0
WA,20200204,8.0
WA,20200203,7.0
WA,20200202,6.0
WA,20200201,4.0
WA,20200131,3.0
WA,20200130,3.0
WA,20200129,3.0
WA,20200128,2.0
WA,20200127,2.0
WA,20200126,2.0
WA,20200125,2.0
WA,20200124,2.0
WA,20200123,2.0
WA,20200122,2.0
